,id,latitude,longitude,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,number_of_reviews,review_scores_rating,pt_condo,pt_apartment,pt_house,pt_rental_unit,pt_hotel,pt_hostel,rt_entire_home/ap,rt_private_room,rt_shared_room,geometry,neighbourhood
5678,833870094422449340,50.0730941,14.4315985,2,1.0,1.0,1.0,93.28,2,90,23,4.65,0,0,0,1,0,0,1,0,0,POINT (14.4315985 50.0730941),Praha 2
5679,833871670297807643,50.07243812819394,14.432675680590702,6,1.0,2.0,2.0,98.52,2,90,7,4.29,0,0,0,1,0,0,1,0,0,POINT (14.432675680590702 50.07243812819394),Praha 2
5680,833873212550233106,50.07426,14.43041,7,1.5,2.0,4.0,93.28,2,90,28,4.75,0,0,0,1,0,0,1,0,0,POINT (14.43041 50.07426),Praha 2
5681,833874886204301523,50.10130299999999,14.3908999,3,1.0,1.0,2.0,74.88,2,90,26,4.5,0,0,0,1,0,0,1,0,0,POINT (14.3908999 50.10130299999999),Praha 6
5682,833876005649545687,50.10051195482357,14.390132202377854,4,1.0,1.0,3.0,74.88,2,90,27,4.52,0,0,0,1,0,0,1,0,0,POINT (14.390132202377854 50.10051195482357),Praha 6
5683,833882582749198878,50.0686474,14.4344076,2,1.0,1.0,1.0,73.16,2,90,31,4.42,0,0,0,1,0,0,1,0,0,POINT (14.4344076 50.0686474),Praha 2
5684,833884541773944888,50.0686474,14.4344076,4,1.0,1.0,3.0,74.88,2,90,17,4.59,0,0,0,1,0,0,1,0,0,POINT (14.4344076 50.0686474),Praha 2
5685,833904722292841451,50.0760182,14.4560899,2,1.0,1.0,1.0,75.2,2,90,21,4.67,0,0,0,1,0,0,1,0,0,POINT (14.4560899 50.0760182),Praha 3
5686,833905850235055255,50.0760182,14.4560899,3,1.0,1.0,2.0,75.2,2,90,27,4.67,0,0,0,1,0,0,1,0,0,POINT (14.4560899 50.0760182),Praha 3
5687,834578801660845908,50.078911934299306,14.45835625645858,6,2.0,3.0,6.0,287.44,2,1125,37,5.0,1,0,0,0,0,0,1,0,0,POINT (14.45835625645858 50.078911934299306),Praha 3
5688,835321086571158106,50.07675858114439,14.434338448948193,2,1.5,1.0,1.0,52.72,30,600,2,4.5,0,0,0,1,0,0,1,0,0,POINT (14.434338448948193 50.07675858114439),Praha 2
5689,835979796272254667,50.07580142948418,14.428356611566048,3,1.0,0.0,2.0,65.2,5,365,13,4.46,0,0,0,1,0,0,1,0,0,POINT (14.428356611566048 50.07580142948418),Praha 2
5690,835994587816571500,50.0864251,14.4425353,6,1.0,2.0,5.0,162.48,1,365,7,4.43,0,0,0,1,0,0,1,0,0,POINT (14.4425353 50.0864251),Praha 3
5691,836004001847229065,50.09244839467612,14.482074304987275,3,1.0,1.0,3.0,94.88,1,365,13,4.85,0,0,0,1,0,0,1,0,0,POINT (14.482074304987275 50.09244839467612),Praha 3
5692,836019749885997324,50.0864251,14.4425353,4,1.0,1.0,3.0,107.16,1,365,11,4.82,0,0,0,1,0,0,1,0,0,POINT (14.4425353 50.0864251),Praha 3
5693,836160950329692935,50.07341779999999,14.3817901,3,1.0,0.0,2.0,58.28,3,365,34,4.76,1,0,0,0,0,0,1,0,0,POINT (14.3817901 50.07341779999999),Praha 5
5694,836652622056901228,50.098564,14.433404,9,3.0,3.0,6.0,244.56,2,365,32,4.97,0,0,0,1,0,0,1,0,0,POINT (14.433404 50.098564),Praha 7
5695,836762957509537293,50.0378079,14.3499367,5,4.0,3.0,0.0,200.0,30,730,1,5.0,0,0,0,0,0,0,1,0,0,POINT (14.3499367 50.0378079),Praha 13
5696,836849306808869139,50.08273378651381,14.424879061081423,2,1.5,1.0,2.0,72.0,1,365,4,3.75,0,0,0,0,0,1,0,1,0,POINT (14.424879061081423 50.08273378651381),Praha 1
5697,836885732583713492,50.07027186669823,14.410022664565815,2,1.0,1.0,0.0,61.44,4,365,48,4.98,0,0,0,1,0,0,1,0,0,POINT (14.410022664565815 50.07027186669823),Praha 5
5698,836917208899497569,50.0757072,14.4285406,6,1.0,1.0,2.0,68.8,2,365,1,4.0,0,0,0,1,0,0,0,1,0,POINT (14.4285406 50.0757072),Praha 2
5699,836931017326601726,50.07458389944645,14.427735743279058,4,1.0,1.0,2.0,71.0,2,365,1,5.0,0,0,0,1,0,0,1,0,0,POINT (14.427735743279058 50.07458389944645),Praha 2
5700,836939010461549360,50.0749,14.42793,6,1.0,1.0,2.0,79.68,2,365,15,4.27,0,1,0,0,0,0,1,0,0,POINT (14.42793 50.0749),Praha 2
5701,836942636382405334,50.08331741154484,14.3742323666811,2,1.0,1.0,3.0,48.0,1,365,27,4.52,0,0,0,1,0,0,1,0,0,POINT (14.3742323666811 50.08331741154484),Praha 6
5702,837419106132045807,50.08973,14.4468141,6,1.0,2.0,1.0,96.0,2,90,26,4.85,0,0,0,1,0,0,1,0,0,POINT (14.4468141 50.08973),Praha 8
5703,837421015692406269,50.09232748626367,14.442092189303056,8,1.0,1.0,6.0,170.8,1,365,50,4.9,0,0,0,1,0,0,1,0,0,POINT (14.442092189303056 50.09232748626367),Praha 8
5704,837436896063254192,50.0871492,14.4341364,7,1.0,2.0,7.0,154.4,1,365,3,3.67,0,0,0,1,0,0,1,0,0,POINT (14.4341364 50.0871492),Praha 1
5705,837493510146361559,50.07854,14.4078,4,1.0,0.0,2.0,165.64000000000001,1,1125,21,5.0,0,1,0,0,0,0,1,0,0,POINT (14.4078 50.07854),Praha 5
5706,837511009187775832,50.07928150000001,14.4341785,2,1.0,1.0,1.0,80.12,1,365,17,4.41,0,0,0,1,0,0,1,0,0,POINT (14.4341785 50.07928150000001),Praha 2
5707,837528581799043801,50.07733784928176,14.40561632202459,4,1.0,0.0,2.0,162.64000000000001,1,1125,16,4.81,0,1,0,0,0,0,1,0,0,POINT (14.40561632202459 50.07733784928176),Praha 5
5708,837540596274145757,50.07761625033167,14.407415361084652,4,1.0,0.0,2.0,172.12,1,1125,17,4.88,0,1,0,0,0,0,1,0,0,POINT (14.407415361084652 50.07761625033167),Praha 5
5709,837569004711909914,50.0779332,14.4451063,4,1.0,1.0,2.0,111.88,3,28,25,4.88,1,0,0,0,0,0,1,0,0,POINT (14.4451063 50.0779332),Praha 2
5710,837671836038158464,50.06411230671727,14.433554201485876,4,1.5,1.0,2.0,60.0,2,1125,26,4.5,0,0,0,1,0,0,1,0,0,POINT (14.433554201485876 50.06411230671727),Praha 4
5711,837716474621937309,50.08950129253283,14.39960263652428,2,1.0,1.0,1.0,119.2,1,365,3,3.67,0,1,0,0,0,0,1,0,0,POINT (14.39960263652428 50.08950129253283),Praha 1
5712,837737853372754601,50.088413,14.400608,2,1.0,1.0,1.0,115.2,1,365,0,4.81,0,0,0,1,0,0,1,0,0,POINT (14.400608 50.088413),Praha 1
5713,837747852098379733,50.08927710080468,14.40015556479531,2,1.0,1.0,1.0,135.0,1,365,1,1.0,0,0,0,1,0,0,1,0,0,POINT (14.40015556479531 50.08927710080468),Praha 1
5714,838116169877527435,50.0862662,14.450773,2,1.0,1.0,1.0,49.0,1,365,0,4.81,0,0,0,1,0,0,1,0,0,POINT (14.450773 50.0862662),Praha 3
5715,838158842182956886,50.0933084,14.4641165,2,1.0,0.0,1.0,120.08,4,365,22,4.5,1,0,0,0,0,0,1,0,0,POINT (14.4641165 50.0933084),Praha 8
5716,838164067407032327,50.07015407436623,14.416536014516042,2,1.0,1.0,1.0,65.72,2,365,31,4.03,0,0,0,1,0,0,1,0,0,POINT (14.416536014516042 50.07015407436623),Praha 2
5717,838200572927745116,50.0933084,14.4641165,2,1.0,0.0,1.0,126.2,4,365,112,4.48,1,0,0,0,0,0,1,0,0,POINT (14.4641165 50.0933084),Praha 8
5718,838265313758992064,50.0933084,14.4641165,2,1.0,1.0,1.0,150.08,4,365,11,3.82,1,0,0,0,0,0,1,0,0,POINT (14.4641165 50.0933084),Praha 8
5719,838271634327599468,50.0933084,14.4641165,2,1.0,1.0,1.0,161.96,4,365,51,4.43,1,0,0,0,0,0,1,0,0,POINT (14.4641165 50.0933084),Praha 8
5720,838278704515263664,50.0933084,14.4641165,4,1.0,1.0,2.0,192.52,4,365,0,4.81,1,0,0,0,0,0,1,0,0,POINT (14.4641165 50.0933084),Praha 8
5721,838296659238986973,50.0933084,14.4641165,4,1.0,1.0,1.0,181.84,4,365,1,5.0,1,0,0,0,0,0,1,0,0,POINT (14.4641165 50.0933084),Praha 8
5722,838301697472407749,50.0933084,14.4641165,5,1.0,2.0,4.0,274.96,4,1125,2,4.0,1,0,0,0,0,0,1,0,0,POINT (14.4641165 50.0933084),Praha 8
5724,838421588664345004,50.08323280891331,14.43068804815199,4,1.5,1.0,2.0,104.32000000000001,1,365,26,4.65,0,0,0,1,0,0,1,0,0,POINT (14.43068804815199 50.08323280891331),Praha 1
5725,838954131142915114,50.0790312,14.4160952,6,2.0,2.0,2.0,184.84,1,365,8,4.38,0,0,0,1,0,0,1,0,0,POINT (14.4160952 50.0790312),Praha 1
5726,839153851208317009,50.081788396793925,14.430182911455631,8,1.0,2.0,5.0,141.24,2,365,97,4.89,0,0,0,1,0,0,1,0,0,POINT (14.430182911455631 50.081788396793925),Praha 1
5727,839260125215161782,50.0997503,14.4194849,10,1.5,3.0,3.0,158.16,1,365,50,4.88,0,0,0,1,0,0,1,0,0,POINT (14.4194849 50.0997503),Praha 7
5728,839599171318085176,50.095753700380975,14.348532772479308,2,1.0,1.0,1.0,71.0,7,365,1,1.0,0,0,0,1,0,0,1,0,0,POINT (14.348532772479308 50.095753700380975),Praha 6
5730,839795193324202730,50.0905345,14.4178215,6,1.0,2.0,0.0,77.92,2,365,71,4.75,0,0,0,1,0,0,1,0,0,POINT (14.4178215 50.0905345),Praha 1
5731,839908031170861506,50.0719655,14.3956488,8,1.0,2.0,5.0,97.16,2,365,28,4.61,0,0,0,1,0,0,1,0,0,POINT (14.3956488 50.0719655),Praha 5
5732,839972130776023517,50.0757072,14.4285406,8,1.0,2.0,4.0,91.28,2,365,4,3.0,0,0,0,1,0,0,1,0,0,POINT (14.4285406 50.0757072),Praha 2
5733,840396018674357884,50.06241434803085,14.400824973407572,2,1.0,1.0,0.0,47.160000000000004,4,1125,6,4.83,0,0,0,1,0,0,1,0,0,POINT (14.400824973407572 50.06241434803085),Praha 5
5734,840408120186210061,50.040791894721046,14.333736032605692,2,1.0,1.0,1.0,58.44,2,365,10,4.8,0,0,0,1,0,0,1,0,0,POINT (14.333736032605692 50.040791894721046),Praha 13
5735,840419017431207678,50.040110112856446,14.33513640517684,4,1.5,1.0,2.0,76.76,2,365,7,4.71,0,0,0,1,0,0,1,0,0,POINT (14.33513640517684 50.040110112856446),Praha 13
5736,840497781217004138,50.0858551,14.436173,6,1.0,2.0,4.0,74.16,1,365,11,4.91,0,0,0,1,0,0,1,0,0,POINT (14.436173 50.0858551),Praha 1
5737,840529078023227891,50.07909010382031,14.425926216778231,4,1.5,1.0,1.0,134.48,1,365,10,4.5,0,0,0,1,0,0,1,0,0,POINT (14.425926216778231 50.07909010382031),Praha 1
5738,840630665540608081,50.076720459426944,14.403989873600707,2,1.0,1.0,1.0,57.160000000000004,2,365,48,4.58,0,0,0,1,0,0,1,0,0,POINT (14.403989873600707 50.076720459426944),Praha 5
5739,840998779658221582,50.09092279999999,14.4308248,2,1.5,1.0,2.0,82.12,1,365,12,4.08,0,0,0,1,0,0,1,0,0,POINT (14.4308248 50.09092279999999),Praha 1
5740,841058466839443173,50.0735592,14.4376276,4,1.5,2.0,2.0,64.0,2,31,67,4.87,0,0,0,1,0,0,1,0,0,POINT (14.4376276 50.0735592),Praha 2
5741,841238448907860706,50.10565330777191,14.447143146764471,2,1.0,1.0,1.0,80.0,1,1125,39,4.82,0,0,0,1,0,0,1,0,0,POINT (14.447143146764471 50.10565330777191),Praha 7
5742,841369042959695012,50.0837392,14.4493164,3,1.5,1.0,1.0,71.72,1,365,24,4.46,0,0,0,1,0,0,1,0,0,POINT (14.4493164 50.0837392),Praha 3
5744,841901523537334362,50.08673839999999,14.4532781,4,1.0,1.0,1.0,78.0,4,60,2,4.5,0,0,0,1,0,0,1,0,0,POINT (14.4532781 50.08673839999999),Praha 3
5745,841931258443384759,50.00765390817543,14.45906533368813,6,1.5,3.0,4.0,138.8,1,1125,27,4.56,0,0,0,1,0,0,1,0,0,POINT (14.45906533368813 50.00765390817543),Libuš
5746,841984500527519941,50.0906356,14.4472494,2,1.0,0.0,1.0,111.12,2,365,20,4.95,0,0,0,1,0,0,1,0,0,POINT (14.4472494 50.0906356),Praha 8
5747,842019298404161290,50.088113,14.4200486,2,1.0,1.0,1.0,158.04,2,365,2,5.0,0,1,0,0,0,0,1,0,0,POINT (14.4200486 50.088113),Praha 1
5748,842019557402279622,50.088113,14.4200486,4,1.0,0.0,3.0,173.84,2,365,2,5.0,0,1,0,0,0,0,1,0,0,POINT (14.4200486 50.088113),Praha 1
5749,842024415480152587,50.088113,14.4200486,5,1.0,1.0,3.0,173.84,2,365,3,5.0,0,1,0,0,0,0,1,0,0,POINT (14.4200486 50.088113),Praha 1
